u,v,key,osmid,oneway,highway,reversed,length,lanes,ref,maxspeed,bridge,name,width,access,junction,tunnel,service,area,fid
26016457,1534488874,0,"[447313532, 447313062, 460986074, 447313531, 37406652]",1,motorway,False,892.259,"['4', '3']","['IC 23', 'A 1']",80,cantilever,"['Ponte da Arrábida', 'Via de Cintura Interna']",,,,,,,143
26016466,111461666,0,"[95841153, 95841130, 12297710]",1,motorway_link,False,546.0550000000001,,,,yes,,,,,,,,144
26016466,4444772637,0,35539786,1,motorway,False,248.061,3,IC 23,80,,Via de Cintura Interna,,,,,,,145
26016750,26016419,0,398030861,1,motorway,False,63.202,4,IC 23;A 20,80,,Via de Cintura Interna,,,,,,,146
26057813,420776893,0,643196111,1,primary,False,112.655,2,EN 12,,,Estrada Exterior da Circunvalação,,,,,,,147
26057853,26122720,0,4306661,1,motorway_link,False,239.91299999999998,1,,40,,,,,,,,,148
26057853,3522178888,0,"[1005681290, 1005681291]",1,primary,False,168.36,"['2', '3']",EN 12,,,Estrada Interior da Circunvalação,,,,,,,149
26122670,297369946,0,142699185,1,primary_link,False,13.203,1,,,,,,,,,,,150
26122670,2486710642,0,240990100,1,trunk_link,False,112.707,1,,,,,,,,,,,151
26122673,112640152,0,126502559,1,trunk_link,False,170.15,,,,,,,,,,,,152
26122679,26122848,0,4311944,1,trunk_link,False,292.16799999999995,,,,,,,,,,,,153
26122679,26122707,0,"[95361624, 453278321]",1,trunk,False,201.29,3,EN 14;EN 13,70,yes,Via Norte,,,,,,,154
26122693,112641245,0,126502564,1,trunk_link,False,253.58,,,,,,,,,,,,155
26122700,1561621080,0,666672379,1,primary,False,56.245000000000005,2,EN 12,,,Estrada Interior da Circunvalação,,,,,,,156
26122707,26122700,0,4311951,1,trunk_link,False,262.135,1,,,,,,,,,,,157
26122707,112641245,0,"[479198392, 35011275]",1,trunk,False,230.274,2,EN 14,70,,Via Norte,,,,,,,158
26122708,26122693,0,4311949,1,trunk_link,False,158.06600000000003,,,,,,,,,,,,159
26122708,3573222120,0,666672379,1,primary,False,157.61599999999999,2,EN 12,,,Estrada Interior da Circunvalação,,,,,,,160
26122713,26122720,0,"[367461722, 37142500, 220234012, 367477470]",1,motorway,False,782.115,4,A 3,"['120', '60']",viaduct,Autoestrada de Entre-Douro-e-Minho,,,,,,,161
26122714,3092764693,0,"[4259344, 345566832, 367461725]",1,motorway_link,False,431.3449999999999,2,1,"['40', '60']",viaduct,,,,,,,,162
26122714,26015889,0,4259345,1,motorway_link,False,277.204,2,1,60,,,,,,,,,163
26122720,26122724,0,"[367477472, 367477476]",1,motorway,False,324.5580000000001,"['4', '5']",A 3,120,,Autoestrada de Entre-Douro-e-Minho,,,,,,,164
26122724,1214152740,0,"[367522281, 367522283, 367522290, 220234011, 367477471]",1,motorway,False,1376.0339999999999,"['4', '5']",A 3,120,,Autoestrada de Entre-Douro-e-Minho,,,,,,,165
26122742,292302542,0,26649101,1,motorway_link,False,620.259,2,,40,,,,,,,,,166
26122742,3714381826,0,367522272,1,motorway,False,209.61,3,A 3,120,,Autoestrada de Entre-Douro-e-Minho,,,,,,,167
26122781,26057813,0,"[4306658, 367477477]",1,motorway_link,False,330.31299999999993,1,,"['40', '60']",,,,,,,,,168
26122781,26122784,0,"[367477464, 367477473, 367477474]",1,motorway,False,371.416,"['4', '3']",A 3,120,,Autoestrada de Entre-Douro-e-Minho,,,,,,,169
26122784,112652932,0,4306660,1,motorway_link,False,309.8189999999999,1,,40,,,,,,,,,170
26122784,26122714,0,"[367477475, 367461723, 367464148, 367477465, 367477467, 367477469]",1,motorway,False,833.7299999999999,"['4', '3']",A 3,"['80', '120']",viaduct,Autoestrada de Entre-Douro-e-Minho,,,,,,,171
26122798,26122781,0,"[367522289, 367522274, 367477466, 367522279]",1,motorway,False,994.914,"['4', '5']",A 3,120,,Autoestrada de Entre-Douro-e-Minho,,,,,,,172
26122800,26122798,0,"[367522288, 367522287]",1,motorway,False,232.961,"['4', '5']",A 3,120,,Autoestrada de Entre-Douro-e-Minho,,,,,,,173
26122807,1214152660,0,"[367522280, 367522276, 367522284, 367522278]",1,motorway,False,346.01800000000003,4,A 3,120,viaduct,Autoestrada de Entre-Douro-e-Minho,,,,,,,174
26122807,292302542,0,"[105397449, 498372036]",1,motorway_link,False,437.32199999999995,"['2', '1']",,60,,,,,,,,,175
26122848,291991193,0,1016542175,1,primary,False,243.40499999999997,2,EN 12,50,,Estrada Exterior da Circunvalação,,,,,,,176
36730965,1528823361,0,"[95117801, 95098677, 139455439]",1,motorway,False,337.664,,"['A 44', 'IC 23']","['80', '100']",yes,Via de Cintura Interna,,,,,,,177
60795247,2284958175,0,"[37092216, 464784235, 172963176]",0,residential,False,93.328,2,,,yes,Rua Central de Francos,,,,,,,178
60795247,257736401,0,666663897,0,residential,False,35.788,2,,,,Rua de Maria Lamas,,,,,,,179
62890972,1169617940,0,1016953354,0,tertiary,True,23.044,,,,,Rua de Tourais,,,,,,,180
62890972,62924617,0,8758049,0,residential,True,89.404,,,,,Rua do Monte da Terra,,,,,,,181
62890972,5271082995,0,101315817,0,residential,True,24.666,,,,,Rua do Salvado,,,,,,,182
62890972,62890974,0,1016953351,0,tertiary,False,53.018,,,,,Rua de Tourais,,,,,,,183
62890974,62890975,0,1016953353,0,tertiary,False,33.164,,,,,Rua de Tourais,,,,,,,184
62890974,5271082994,0,8760791,1,tertiary,False,55.81099999999999,,,,,Viela Salvado,,,,,,,185
62890974,62890972,0,1016953351,0,tertiary,True,53.018,,,,,Rua de Tourais,,,,,,,186
62890975,62890974,0,1016953353,0,tertiary,True,33.164,,,,,Rua de Tourais,,,,,,,187
62890975,62954778,0,8760632,0,residential,True,68.218,,,,,Viela de Tourais,,,,,,,188
62890975,62890977,0,1016953352,0,tertiary,False,83.75999999999999,,,,,Rua de Tourais,,,,,,,189
62890977,62917393,0,10308610,0,residential,False,21.844,,,,,Rua do Sarilho,,,,,,,190
62890977,62890979,0,1016953350,0,tertiary,False,155.418,,,,,Rua Monte do Castelo,,,,,,,191
62890977,62890975,0,1016953352,0,tertiary,True,83.75999999999999,,,,,Rua de Tourais,,,,,,,192
62890979,62890984,0,8756482,0,residential,False,177.38,,,,,Rua Monte do Castelo,,,,,,,193
62890979,62913393,0,8757249,0,residential,True,150.013,,,,,Rua do Monte de Xisto,,,,,,,194
62890979,62915449,0,8757432,0,tertiary,True,164.451,,,,,Rua dos Paus,,,,,,,195
62890979,62890977,0,1016953350,0,tertiary,True,155.418,,,,,Rua Monte do Castelo,,,,,,,196
62890984,62890985,0,8756482,0,residential,False,78.252,,,,,Rua Monte do Castelo,,,,,,,197
62890984,62890979,0,8756482,0,residential,True,177.38,,,,,Rua Monte do Castelo,,,,,,,198
62890984,277541155,0,8760020,0,residential,False,106.379,,,,,Rua Padre Alexandre Milheiro,,,,,,,199
62890984,62913393,0,8760020,0,residential,True,138.21,,,,,Rua Padre Alexandre Milheiro,,,,,,,200
62890985,4484521170,0,8756482,0,residential,False,10.845,,,,,Rua Monte do Castelo,,,,,,,201
