osmid,y,x,street_cou,highway,ref
1916530825,30.6391213,103.9786325,4,,
1916530842,30.6484346,103.9805664,3,,
1916530844,30.6075974,103.980859,4,,
1916530848,30.6100762,103.9839332,4,,
1916530866,30.610412,103.9874162,5,,
1916530889,30.6453244,103.9766483,4,,
1916530926,30.6604237,103.975157,3,,
1916530940,30.59984,103.9857302,4,,
1916530947,30.632881,103.9806073,4,,
1916530968,30.6097212,103.9805417,4,,
1916530997,30.601755,103.9854164,4,,
1916531004,30.6258059,103.982859,4,,
1918491700,30.6341267,104.0045416,3,,
1918491702,30.6517349,103.9786164,4,,
1918491704,30.6462307,103.9945166,3,,
1918491705,30.6422139,104.0015439,3,,
1918491706,30.6304345,104.0081944,4,,
1918491708,30.6314998,104.0069639,4,,
1918491712,30.628577,103.9771433,4,,
1918491714,30.6463016,103.9873241,3,,
1918491716,30.6490086,103.9823371,3,,
1918491720,30.6498444,103.9799969,3,,
1918491722,30.6326141,103.9860876,4,,
1918491725,30.6443193,103.9819915,4,,
1918491726,30.6552619,103.9809843,3,,
1918491727,30.6532608,103.9756239,4,,
1918491728,30.6419112,103.9986259,3,,
1918491730,30.6478147,103.9970936,4,,
1918491731,30.6432407,103.9773157,4,,
1918491733,30.6408427,103.9831927,4,,
1918491741,30.6369806,104.0065755,3,,
1918491742,30.6372768,103.9844411,4,,
1918491744,30.6480171,103.9915323,4,,
1918491745,30.6280942,104.0111055,4,,
1918491748,30.6426035,103.9825637,3,,
1918491750,30.63317,104.0053893,4,,
1918491752,30.6461602,103.9865744,3,,
1918491753,30.6329945,103.97483,4,,
1918491756,30.6466341,103.9980508,3,,
1918491759,30.6537357,103.979965,4,,
1918491760,30.6425329,104.0042266,3,,
1918491763,30.6504012,103.97786,3,,
1918491764,30.6510055,103.98052,3,,
1918505681,30.6086682,104.0003369,3,,
1918505684,30.6061131,104.0009394,4,,
1918505685,30.606463,103.9985722,3,,
1918505686,30.6054234,104.0062874,3,,
1918505692,30.612219,104.0042084,3,,
1918505695,30.6110623,104.0060414,3,,
1918505702,30.6100579,103.9991621,1,,
1918505703,30.6110967,104.0104301,1,,
1918505705,30.6063961,103.9987746,4,,
1947138487,30.6862907,104.0853577,4,,
1947138494,30.6920812,104.0853366,3,,
1947168661,30.6942493,104.0867707,4,,
1947583813,30.6923138,104.0808455,3,,
1947583827,30.6911661,104.083098,1,,
1947583836,30.6884774,104.0867935,3,,
1947583849,30.689593,104.087526,3,,
1947583851,30.6882074,104.0903817,4,,
1947583861,30.686736,104.0893888,4,,
1947583862,30.6870652,104.0886658,3,,
1947583867,30.685744,104.0865201,4,,
1947584007,30.6826967,104.092838,3,,
1947584056,30.6834437,104.0834657,3,,
1947584145,30.6910589,104.0884885,1,,
1956501938,30.6871881,104.1031869,3,,
1956501941,30.6847381,104.1038378,3,,
1956502807,30.6889103,104.103202,3,,
1956533689,30.6888068,104.1164095,3,,
1956554700,30.6784303,104.1086301,3,,
1956554705,30.6750342,104.1099471,4,,
1956567318,30.6712161,104.1157953,3,,
1956567320,30.679547,104.1122042,3,,
1958204061,30.6760603,104.0746267,4,,
